,Facility_ID,Longitude,Latitude,GridX,GridY,NOX_Monthly,PEC_Monthly,SO2_Monthly,NH3_Monthly
0,6436311.0,-96.082,30.619,57.0,220.0,3324070.704084635,3009939.76059258,29574.525019247085,4897840.174394846
1,4018411.0,-97.214,28.713,39.0,211.0,5156699.13983345,4296687.967765331,18008.075642888434,2445817.287772894
2,4837411.0,-106.432,31.984,73.0,138.0,20104311.935663223,20844441.07682705,190495.90120017529,2717360.9329104424
3,3968411.0,-95.636,29.479,46.0,224.0,7460399.124670029,10323353.766846657,95204.13051992655,3776567.6328599453
4,4144811.0,-96.752,29.914,50.0,215.0,5900138.880944252,5508482.642483711,76334.35560744256,5441542.856544256
5,3981511.0,-97.271,30.146,53.0,210.0,2385699.0313589573,4341830.572718382,20199.185762694106,3926732.1254611015
6,6498311.0,-94.619,32.018,70.0,231.0,5741204.121208191,2450518.3814048767,27690.1248450391,5425126.52297616
7,13385811.0,-96.489,31.182,62.0,217.0,33804333.349227905,2318043.757326901,19048.46834829077,9084951.565396786
8,7552911.0,-96.696,31.093,61.0,215.0,5210503.9721131325,5046387.3126626015,9653.48789433483,8671974.307358265
9,7926611.0,-98.31,32.658,76.0,202.0,1875479.6698272228,524388.6556684971,2030.7304638350615,1100699.326953292
10,4930011.0,-102.57,34.185,91.0,170.0,2994431.4159035683,2275645.3203499317,4714.510191301815,4920010.942330956
11,4862411.0,-94.066,30.057,52.0,236.0,115573006.5525055,102949034.92870331,1420327.466699481,8188168.513762951
12,7908711.0,-94.69,32.448,74.0,231.0,40985024.115371704,23968362.383651733,753555.2849560976,4736368.160426617
13,4845611.0,-94.485,32.461,74.0,232.0,29215505.37071228,13184058.391213417,126205.38078434765,4083871.596443653
14,3052111.0,-96.055,31.821,68.0,220.0,6191994.8531627655,1867784.7345381975,5422.997071500868,2783855.690726638
15,4898511.0,-98.477,28.704,39.0,200.0,11735901.322174072,728190.4542401433,3378018.0345654488,1946669.9935644865
16,5617211.0,-98.32,29.306,45.0,202.0,8458948.222267628,9844783.803069592,115639.00406453758,5302220.664578676
17,4036111.0,-95.038,33.092,80.0,228.0,12975692.106556892,12528124.608778954,310102.84616947174,14877070.703458786
18,4164411.0,-94.843,33.056,80.0,229.0,3017741.568285227,2623387.1059566736,65548.57416339219,14110530.638480186
19,5745311.0,-101.748,35.299,101.0,177.0,11617226.297879219,12776954.755067825,95959.50306728482,12159194.555962086
20,13408411.0,-97.061,30.567,56.0,212.0,2578686.6305708885,4566316.725039482,17439.203998167068,3478385.6295347214
21,4204811.0,-97.063,30.566,56.0,212.0,2578686.6305708885,4566316.725039482,17439.203998167068,3478385.6295347214
22,15628511.0,-96.955,31.475,65.0,213.0,8825202.384066582,8164416.149497032,60444.26640132442,10228190.182435513
23,5650511.0,-96.253,31.424,64.0,218.0,24194167.25921631,6200596.310591698,96119.0901517868,4149192.9753899574
24,6599611.0,-96.461,30.722,58.0,217.0,13280983.309864998,9477852.067637444,247433.12461674213,8632584.657561779
25,5729111.0,-94.902,29.771,49.0,230.0,4663450.264889002,6464700.34031868,53607.011679466814,1201260.1797759533
26,5847411.0,-94.923,29.752,49.0,229.0,72553850.99344254,85219857.2467804,2975645.9992289543,8024298.555850983
27,5729511.0,-94.991,31.94,69.0,228.0,3073866.492587328,2849161.135098338,40383.83407909423,5330583.743405342
28,16862411.0,-96.614,33.577,84.0,215.0,7931528.1010866165,7391383.339047432,52597.27447377518,6690472.319018841
29,4018911.0,-98.14,29.624,48.0,203.0,44664497.03207016,55183570.93820572,439758.5796430707,5397296.68366313
30,7720411.0,-97.973,29.593,47.0,205.0,28986196.04616165,35357809.13600922,368017.9798923433,7116374.632358551
31,14748411.0,-94.257,30.303,54.0,235.0,16917886.766052246,24666102.622890472,182034.0119238943,1220504.7955691814
32,4925011.0,-95.046,29.626,48.0,228.0,79598910.73150635,106712702.02674866,1371427.1183788776,8526223.657000065
33,6429411.0,-95.11,29.816,50.0,228.0,24652497.15027809,33798420.055532455,453821.95612862706,4508354.714906216
34,6616311.0,-95.072,29.703,49.0,228.0,96494373.74954224,92427346.6747284,2088303.8088798523,6407975.629448891
35,4926511.0,-95.535,29.942,51.0,224.0,87429415.08636475,116913102.95963287,1482589.3125325441,9829687.714362144
36,6422111.0,-95.177,29.725,49.0,227.0,122792344.51904297,133977908.5390091,1685384.0138107538,9542443.569231033
37,6510011.0,-95.232,29.719,49.0,227.0,122792344.51904297,133977908.5390091,1685384.0138107538,9542443.569231033
38,4057511.0,-95.121,29.837,50.0,228.0,24652497.15027809,33798420.055532455,453821.95612862706,4508354.714906216
39,7907811.0,-95.041,29.695,49.0,228.0,96494373.74954224,92427346.6747284,2088303.8088798523,6407975.629448891
40,6509911.0,-95.136,29.714,49.0,228.0,96494373.74954224,92427346.6747284,2088303.8088798523,6407975.629448891
41,4777911.0,-95.223,29.819,50.0,227.0,28806044.79446411,41642785.31513214,503797.909437865,2626944.335103035
42,6429511.0,-95.067,29.626,48.0,228.0,79598910.73150635,106712702.02674866,1371427.1183788776,8526223.657000065
43,4927111.0,-97.991,29.781,49.0,204.0,30737886.28692627,30353322.520637512,946599.0168750286,12293254.097735882
44,4863311.0,-96.101,32.124,71.0,220.0,12391059.828186035,11097962.473797798,141989.36268277466,4810313.546669483
45,5655011.0,-98.372,30.558,56.0,201.0,1843819.57834661,1874263.3938252926,8191.735481726937,85869.23771090806
46,5613211.0,-94.548,32.849,78.0,232.0,7346800.23522377,8104046.681571007,26148.116831481457,1401606.027790904
47,7652411.0,-94.723,32.922,79.0,230.0,7040117.625260353,7289171.124994755,76988.39889653027,5974542.673069239
48,13389311.0,-94.9,31.832,68.0,229.0,1462993.65965724,1393807.657456398,5632.7075957204215,6928177.288556099
49,5611911.0,-97.31,27.608,29.0,210.0,20420474.25055504,21497032.150697708,198743.45136545599,1808701.6567379236
50,4189011.0,-97.419,27.819,31.0,209.0,29568343.82801056,18106556.341981888,156463.55896778405,2743937.912553549
51,4206511.0,-97.428,27.814,31.0,209.0,29568343.82801056,18106556.341981888,156463.55896778405,2743937.912553549
52,5678011.0,-101.746,35.284,101.0,177.0,11617226.297879219,12776954.755067825,95959.50306728482,12159194.555962086
53,5780011.0,-97.258,27.889,32.0,210.0,12452650.501155853,7012878.133499622,68735.74258312583,7304022.916817665
54,9071611.0,-97.613,30.209,53.0,208.0,9480352.64840126,9180199.582099915,82541.69394867495,9946227.884817123
55,5021711.0,-97.612,30.304,54.0,208.0,18729340.761351585,19087211.730480194,1484593.9683258533,4733442.215323448
56,8515911.0,-102.959,31.583,67.0,165.0,21835703.743457794,8272411.556482315,1076567.8879380226,185821.51771802455
57,8516011.0,-95.899,29.264,44.0,221.0,7335718.052887917,7070463.6506438255,31929.738257825375,7237024.4064331055
58,13392711.0,-96.068,29.289,45.0,220.0,18750429.05831337,20159536.521577835,118984.83755607158,7040221.005427837
59,7927311.0,-99.176,34.083,89.0,196.0,2987828.555238247,1911212.7937316895,3093.1753103941446,4229708.2630723715
60,9051811.0,-97.909,33.061,80.0,205.0,9168262.101244926,3542901.668894291,16667.16816422995,3539919.695851207
61,8532511.0,-98.612,33.135,80.0,200.0,7828804.653596878,8558653.200352192,91004.53680809587,981286.7586001754
62,5860711.0,-96.45,33.07,80.0,217.0,5802360.010778904,6442929.331147671,29887.088845157996,2670142.6301032305
63,5632311.0,-95.746,29.072,43.0,223.0,3825513.0484879017,4861786.932170391,59911.40877306461,3520158.79535079
64,4836411.0,-96.546,32.837,78.0,216.0,65016079.281806946,70225454.6330452,945759.3286514282,7252841.053211689
65,5729911.0,-96.937,32.726,76.0,213.0,82201006.92844391,90825664.45941925,1053489.9517983198,8429406.458866596
66,3115511.0,-97.106,33.197,81.0,212.0,33113944.446659088,34481315.377664566,252242.76754930615,4759941.3230896
67,5617311.0,-97.359,31.859,68.0,210.0,2665721.1323797703,3336663.783988729,2911.252772937587,9749478.234314919
68,16861111.0,-97.315,31.055,61.0,210.0,52341389.53342438,48740502.94532776,303140.78656733036,9728004.613995552
69,3000111.0,-98.575,29.352,45.0,200.0,87732364.13669586,93032790.26584625,1029737.3118951917,9108540.303432941
70,5616511.0,-98.381,29.257,44.0,201.0,15369356.424665451,15323172.43988514,133819.0207136795,5178462.984931469
71,4852511.0,-96.111,31.89,69.0,220.0,3430506.014442444,1544848.6539334059,17283.921328559518,2059741.2959307432
72,3930911.0,-94.942,29.377,46.0,229.0,18238330.38482666,23560665.12722969,236377.2413134575,3875551.733583212
73,9132111.0,-94.932,29.378,46.0,229.0,18238330.38482666,23560665.12722969,236377.2413134575,3875551.733583212
74,9123111.0,-94.436,32.396,74.0,233.0,33755613.10300827,16768329.079413414,97954.47289422154,3418252.8603851795
75,4846411.0,-98.19,26.34,17.0,202.0,12054506.067109108,11287149.567210674,64036.54161840677,5485697.832173109
76,7908611.0,-98.399,26.208,16.0,201.0,44292563.42668533,44284316.36137962,295942.30289049447,4819249.779832363
77,6141711.0,-98.175,26.342,17.0,203.0,33061840.76242447,21121901.53284073,114681.55327308923,5190661.859661341
78,9116611.0,-97.731,32.334,73.0,207.0,12373499.467992783,3913008.500522375,19403.52352866903,2772690.787294507
79,6153011.0,-97.698,32.404,74.0,207.0,25877014.510202408,15578095.221161842,111285.43064575642,2026598.2812523842
80,5649311.0,-101.422,32.273,73.0,178.0,21347871.60115242,20269806.651449203,166207.5971737504,1521514.2417356372
81,5655711.0,-96.127,33.171,81.0,219.0,3988454.610389471,3478402.7489751577,9908.429219853133,4238364.516180754
82,7910111.0,-101.36,35.696,105.0,180.0,17020193.63965988,4428307.149893045,894296.9861000776,314672.69907295704
83,13385011.0,-97.957,33.101,80.0,205.0,9168262.101244926,3542901.668894291,16667.16816422995,3539919.695851207
84,6364211.0,-97.409,32.399,73.0,209.0,32311819.952201843,37308688.62361908,321895.919630304,8089095.361018181
85,9146511.0,-96.492,32.756,77.0,216.0,52629185.31217575,61436175.48522949,750241.8176338077,8063300.507569313
86,7910611.0,-95.59,33.631,85.0,223.0,6474506.86866045,6378186.201649904,115752.20084544271,5501309.988570213
87,6431011.0,-95.557,33.697,86.0,224.0,4745029.140526056,6392410.154271126,57560.344045981765,7858626.658970118
88,4946011.0,-102.41,34.166,91.0,171.0,1861201.6723573208,978055.2687149495,1252.8061396391422,7246145.952612162
89,4030611.0,-101.74,33.524,85.0,176.0,9718890.41647911,8443458.728170395,46781.98266830295,7219398.666590452
90,5655211.0,-101.791,33.521,85.0,175.0,124336060.08453369,118132963.31291199,846391.3164317608,12411545.325279236
91,5655311.0,-101.841,33.604,86.0,175.0,30461294.280195236,33867493.17369461,360685.8115453273,6897098.262763023
92,4204911.0,-100.913,32.334,74.0,182.0,10762351.416921616,11092197.171092033,53649.64229464531,1698437.9563227296
93,7910511.0,-95.521,30.436,55.0,224.0,8132167.733466625,20816919.16294098,191496.6363877058,2938257.999408245
94,9118811.0,-93.736,30.258,54.0,239.0,7142610.824632645,6841470.792531967,91954.95838299394,6741494.737100601
95,5730811.0,-93.877,30.022,52.0,238.0,15661873.44725132,21045825.6231308,219532.18275234103,4178222.9914963245
96,6509111.0,-93.758,30.055,52.0,239.0,28288186.645317078,25781056.282424927,324299.49449300766,2362962.628430128
97,5731011.0,-93.772,30.044,52.0,239.0,28288186.645317078,25781056.282424927,324299.49449300766,2362962.628430128
98,4207311.0,-94.571,32.261,72.0,232.0,28225676.73597336,5863638.2184147835,53567.90073942393,9350067.2560215
99,14748511.0,-95.011,30.419,55.0,229.0,6253083.641910553,8167952.80687809,21071.98669896461,1929963.5300070047
100,4916711.0,-97.218,32.727,76.0,211.0,95327968.31645966,86969546.8952179,994990.5426487327,9398175.502824783
101,5863011.0,-97.135,28.895,41.0,211.0,7155756.120300293,3781389.5029842854,100643.34006384015,4132789.5830512047
102,6497211.0,-97.011,28.789,40.0,212.0,23442382.171297073,27629539.85438347,199204.6694330871,4437149.826049805
103,5023911.0,-99.508,27.568,29.0,192.0,44410927.96125412,52765032.419872284,235462.68204152584,1887793.6773464084
104,5129311.0,-102.742,32.972,80.0,168.0,3472189.5345568657,1217477.8627920896,140300.95662251115,2481632.926981151
105,3981311.0,-97.27,30.148,53.0,210.0,2385699.0313589573,4341830.572718382,20199.185762694106,3926732.1254611015
106,3981411.0,-97.549,30.144,53.0,208.0,9480352.64840126,9180199.582099915,82541.69394867495,9946227.884817123
107,14748911.0,-96.994,30.024,51.0,213.0,7524669.719696045,5916496.455144882,143663.0152925849,6065196.947479248
108,9138811.0,-95.623,29.473,46.0,224.0,7460399.124670029,10323353.766846657,95204.13051992655,3776567.6328599453
109,3968311.0,-102.326,31.84,70.0,170.0,60542421.419620514,55008606.7946434,840339.0367269516,4779736.110752821
110,13408111.0,-102.317,31.841,70.0,170.0,60542421.419620514,55008606.7946434,840339.0367269516,4779736.110752821
111,6494211.0,-97.056,32.429,74.0,212.0,26247586.582517624,27995838.14806938,248326.54619403183,10710283.473229408
112,6389111.0,-96.675,32.321,73.0,215.0,24853132.142972946,24330817.58122444,230032.4066977948,6780827.583181858
113,3049111.0,-106.375,31.758,71.0,138.0,172046820.65048218,124009759.90791321,2063185.6959164143,49350839.019584656
114,4020611.0,-94.641,32.377,73.0,231.0,21471858.236789703,2931124.1242825985,49137.84376345575,4486829.274791479
115,6436111.0,-95.918,30.593,57.0,221.0,7264614.1894340515,6155479.872465134,73821.9167531468,5019595.241206884
116,6493311.0,-97.522,25.913,13.0,208.0,66599573.69184494,64709976.3630867,518873.04036319256,6271271.028113365
117,6598311.0,-96.372,30.648,57.0,218.0,77631988.35010529,84158035.22615433,990533.1434905529,9051664.688050747
118,5679711.0,-96.956,28.673,39.0,213.0,26706402.11391449,15758652.210831642,96223.75605460256,8107392.922282219
119,6584511.0,-96.343,30.618,57.0,218.0,77631988.35010529,84158035.22615433,990533.1434905529,9051664.688050747
120,4942411.0,-95.399,29.703,49.0,226.0,296160727.58102417,287865915.9439087,2922532.879149914,22627332.232403755
121,5862111.0,-97.596,27.811,31.0,208.0,26480398.71969223,32205381.54373169,230624.48883131146,2605769.403246045
122,4929511.0,-97.821,27.57,29.0,206.0,7321544.134032726,5763047.778868675,39029.13604835048,6177260.540163517
123,5746611.0,-97.245,27.883,31.0,210.0,38932195.678424835,26437265.013599396,325962.14312911034,2567651.9626021385
124,4897811.0,-95.342,28.98,42.0,226.0,20735190.200972557,31359331.902694702,716673.256520927,1873099.7757554054
125,15625011.0,-101.844,33.866,88.0,175.0,6905889.348614216,6666524.0403056145,19979.413788509555,12491991.738581657
126,3930211.0,-99.092,28.93,41.0,195.0,21722000.525951385,16718836.929273605,719695.7706838846,6113896.88385129
127,4846511.0,-94.375,32.578,75.0,233.0,26194133.458328247,28210115.81068039,332878.07902246714,3788623.884665966
128,5655811.0,-101.433,35.667,104.0,179.0,14291937.079668045,9837639.236712456,72608.1369205378,9257949.649858475
129,4945211.0,-93.929,29.964,51.0,237.0,65608873.87390137,62592330.746269226,728033.7451323867,7242995.771026611
130,6445411.0,-93.884,29.954,51.0,238.0,64998280.93070984,41191755.55458069,467614.5895242691,1302743.8148394227
131,5611511.0,-93.972,29.865,50.0,237.0,42436760.08787155,40404746.73528671,785389.222446084,1644146.1579054594
132,6158311.0,-93.952,29.979,51.0,237.0,65608873.87390137,62592330.746269226,728033.7451323867,7242995.771026611
133,6382211.0,-101.886,33.585,85.0,175.0,124336060.08453369,118132963.31291199,846391.3164317608,12411545.325279236
134,16870811.0,-94.436,30.749,58.0,233.0,4839775.512474775,5913637.211751938,33478.48472809419,2051748.7198501825
135,5127311.0,-98.589,33.863,87.0,200.0,14034586.874985695,10470998.935353756,93436.81411016732,3978829.6533823013
136,5846511.0,-96.769,28.51,37.0,214.0,4115106.7950367928,4509610.737544298,101872.86536023021,2234485.0719094276
137,5633411.0,-96.54,28.649,39.0,216.0,5567094.787251949,6135261.172235012,161181.40660263598,2344153.8636624813
138,14749111.0,-94.74,31.369,64.0,230.0,17273630.16514778,22266721.234846115,259328.68772484362,8259042.578101158
139,6429211.0,-97.868,26.271,16.0,205.0,6405989.115822315,5431108.51893425,43184.944914188236,5410044.522947073
